id,name,link,logo,short_description,full_description,type,status,origin,"rating (quality, stability, features, maturity)","popularity (community size, recognition, adoption)",additional_info,website,github,updated_at
1,CyanogenMod,https://aitoolbuzz.com/roms/cyanogenmod,https://aitoolbuzz.com/assets/agents/roms/logos/CyanogenMod.png,Legendary open-source Android ROM,"CyanogenMod was an open-source Android operating system developed between 2009 and 2016, forming the foundation for many modern ROMs.",AOSP,Discontinued,USA,1000,1000,Foundation of LineageOS,https://cyanogenmodroms.com/,,06-01-2026 17.06
2,GrapheneOS,https://aitoolbuzz.com/roms/grapheneos,https://aitoolbuzz.com/assets/agents/roms/logos/GrapheneOS-067dc2c8.png,Security and privacy focused Android OS,GrapheneOS is a hardened mobile operating system focused on strong privacy and security improvements while maintaining Android app compatibility.,AOSP,Active,Canada,980,820,Industry-leading security,https://grapheneos.org/,https://github.com/GrapheneOS,06-01-2026 14.58
3,Lineage OS,https://aitoolbuzz.com/roms/lineage-os,https://aitoolbuzz.com/assets/agents/roms/logos/Lineage_OS-dd013a83.png,Popular open-source Android operating system,"LineageOS is the official successor to CyanogenMod, offering a free and open-source Android operating system for a wide range of devices.",AOSP,Active,USA,960,970,Most widely used custom ROM,https://lineageos.org/,https://github.com/LineageOS,06-01-2026 17.07
4,Nethunter OS,https://aitoolbuzz.com/roms/nethunter-os,https://aitoolbuzz.com/assets/agents/roms/logos/Nethunter_OS-e0308562.png,Android-based penetration testing OS,"NetHunter OS is an Android-based penetration testing platform built on Kali Linux, designed for security research and ethical hacking.",Kali Linux-based,Active,USA,960,780,Penetration testing platform,https://www.kali.org/docs/nethunter/,,06-01-2026 14.58
5,Kali NetHunter,https://aitoolbuzz.com/roms/kali-nethunter,,Android penetration testing platform,"Kali NetHunter is an open-source Android-based penetration testing platform built on Kali Linux, developed by Offensive Security and the community since 2016.",Kali Linux-based,Active,USA,950,780,Penetration testing platform,,,06-01-2026 14.58
6,Resurrection Remix OS,https://aitoolbuzz.com/roms/resurrection-remix-os,https://aitoolbuzz.com/assets/agents/roms/logos/Resurrection_Remix_OS-396963f9.png,Legendary feature-rich Android ROM,"Resurrection Remix OS is a highly customizable Android ROM developed since 2012, combining features from multiple major ROM projects.",AOSP hybrid,Discontinued,USA,950,930,Legendary feature ROM,https://resurrectionremix.com/,https://github.com/ResurrectionRemix,06-01-2026 14.58
7,Paranoid Android,https://aitoolbuzz.com/roms/paranoid-android,https://aitoolbuzz.com/assets/agents/roms/logos/paranoid-android.svg,CAF-based premium Android ROM,"Paranoid Android is a CAF-based Android custom ROM developed since 2012, known for UI innovation, performance, and system polish.",CAF-based,Inactive,USA,940,900,"UI innovator, historic",https://paranoidandroid.co/,https://github.com/AOSPA,07-01-2026 1.48
8,Bliss OS x86,https://aitoolbuzz.com/roms/bliss-os-x86,,Desktop-focused Android x86 OS,Bliss OS x86 is an Android-based operating system designed for desktop and laptop computers.,Android Desktop OS,Active,USA,940,860,Desktop-focused Android,,,06-01-2026 14.58
9,MIUI,https://aitoolbuzz.com/roms/miui,https://aitoolbuzz.com/assets/agents/roms/logos/Xiaomi-miui-logo.webp,Xiaomi’s Android operating system,"MIUI is Xiaomi’s Android-based operating system for Xiaomi, Redmi, and POCO devices, started in 2010.",AOSP,Active,China,940,960,Xiaomi ecosystem,https://www.mi.com/global/miui,,06-01-2026 17.05
10,One UI,https://aitoolbuzz.com/roms/one-ui,https://aitoolbuzz.com/assets/agents/roms/logos/oneui.png,Samsung’s modern Android user interface,"One UI is Samsung’s Android user interface that succeeded Samsung Experience UX and TouchWiz, developed by Samsung Electronics and launched in 2019 with a focus on usability and one-handed interaction.",Proprietary Android UI,Active,South Korea,940,970,Samsung,https://www.samsung.com/us/apps/one-ui/,,06-01-2026 14.58
